SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,shap_feature,shap_value,feature_label,abs_shap_value,tier_order_rel,tier_order_abs
402021030,Elizabeth,Critical,Moderate,shap_irsad_score,0.0881306835173422,IRSAD (Adv & Disadv),0.0881306835173422,1,3
402021031,Elizabeth East,Moderate,Low,shap_irsad_score,-0.0048284136128399,IRSAD (Adv & Disadv),0.0048284136128399,3,4
402021032,Munno Para West - Angle Vale,Moderate,Low,shap_irsad_score,-0.0485405879865331,IRSAD (Adv & Disadv),0.0485405879865331,3,4
402021033,One Tree Hill,Low,Low,shap_irsad_score,-0.0736765442987231,IRSAD (Adv & Disadv),0.0736765442987231,4,4
402021034,Smithfield - Elizabeth North,High,Moderate,shap_irsad_score,0.0654649175111491,IRSAD (Adv & Disadv),0.0654649175111491,2,3
402021035,Virginia - Waterloo Corner,Moderate,Low,shap_irsad_score,-0.0684387605628795,IRSAD (Adv & Disadv),0.0684387605628795,3,4
402031036,Enfield - Blair Athol,Moderate,Low,shap_irsad_score,0.0030921759073195,IRSAD (Adv & Disadv),0.0030921759073195,3,4
402031038,Windsor Gardens,Moderate,Low,shap_irsad_score,-0.0663720819624938,IRSAD (Adv & Disadv),0.0663720819624938,3,4
402031175,Northgate - Northfield,Low,Low,shap_irsad_score,-0.0685805944995334,IRSAD (Adv & Disadv),0.0685805944995334,4,4
402031176,Valley View - Gilles Plains,Moderate,Low,shap_irsad_score,-0.0310746054382431,IRSAD (Adv & Disadv),0.0310746054382431,3,4
402041040,Ingle Farm,Moderate,Low,shap_irsad_score,-0.044351459253539,IRSAD (Adv & Disadv),0.044351459253539,3,4
402041041,Para Hills,Moderate,Low,shap_irsad_score,-0.037154449250469,IRSAD (Adv & Disadv),0.037154449250469,3,4
